Matter,NonPatent,PublicationNumber,PublicationDate,Patentee,Description,Notes,CiteDate,CitedBy,OriginalURL,TranslationURL
2920951-441000,,US-9622982,,,,,,,,
2920951-441000,,US-9629888-B2,,,,,,,,
2920951-441000,,US-9649279,,,,,,,,
2920951-441000,,US-9655884-B2,,,,,,,,
2920951-441000,,US-9675073,,,,,,,,
2920951-441000,,US-9675736,,,,,,,,
2920951-441000,,US-9686988-B2,,,,,,,,
2920951-441000,,US-9714228,,,,,,,,
2920951-441000,,US-9724345,,,,,,,,
2920951-441000,,US-9744127-B2,,,,,,,,
2920951-441000,,US-9770440-B2,,,,,,,,
2920951-441000,,US-9770449,,,,,,,,
2920951-441000,,US-9776999-B2,,,,,,,,
2920951-441000,,US-9821028,,,,,,,,
2920951-441000,,US-9877950-B2,,,,,,,,
2920951-441000,,US-9931320,,,,,,,,
2920951-441000,,US-9932337-B2,,,,,,,,
2920951-441000,,US-9949953,,,,,,,,
